dim,total,iter,pi_est,count
2,1000000,39,3.14203600,785509
2,1000000,40,3.14097600,785244
2,1000000,41,3.14209200,785523
2,1000000,42,3.14276800,785692
2,1000000,43,3.14176800,785442
2,1000000,44,3.14072000,785180
2,1000000,45,3.14190400,785476
2,1000000,46,3.14040000,785100
2,1000000,47,3.14239600,785599
2,1000000,48,3.13939600,784849
2,1000000,49,3.14260000,785650
2,1000000,50,3.14070800,785177
2,1000000,51,3.14298800,785747
2,1000000,52,3.14158400,785396
2,1000000,53,3.14292800,785732
2,1000000,54,3.14163600,785409
2,1000000,55,3.14054000,785135
2,1000000,56,3.14366400,785916
2,1000000,57,3.14097600,785244
2,1000000,58,3.14070800,785177
2,1000000,59,3.14192000,785480
2,1000000,60,3.14100800,785252
2,1000000,61,3.14407200,786018
2,1000000,62,3.13994000,784985
2,1000000,63,3.14183600,785459
2,1000000,64,3.14290000,785725
2,1000000,65,3.14260800,785652
2,1000000,66,3.14091600,785229
2,1000000,67,3.14074400,785186
2,1000000,68,3.13952000,784880
2,1000000,69,3.14097600,785244
2,1000000,70,3.14367200,785918
2,1000000,71,3.14146800,785367
2,1000000,72,3.14124800,785312
2,1000000,73,3.14166400,785416
2,1000000,74,3.14066800,785167
2,1000000,75,3.13940800,784852
2,1000000,76,3.14240800,785602
2,1000000,77,3.14220400,785551
2,1000000,78,3.14032400,785081
2,1000000,79,3.14304000,785760
2,1000000,80,3.13981200,784953
2,1000000,81,3.14010000,785025
2,1000000,82,3.13815600,784539
2,1000000,83,3.14322400,785806
2,1000000,84,3.14258800,785647
2,1000000,85,3.14052400,785131
2,1000000,86,3.14197600,785494
2,1000000,87,3.14116000,785290
2,1000000,88,3.14140800,785352
2,1000000,89,3.13934000,784835
2,1000000,90,3.14233600,785584
2,1000000,91,3.14208800,785522
2,1000000,92,3.14087200,785218
2,1000000,93,3.14184400,785461
2,1000000,94,3.14153200,785383
2,1000000,95,3.14110800,785277
2,1000000,96,3.14110400,785276
2,1000000,97,3.14047600,785119
2,1000000,98,3.14376000,785940
2,1000000,99,3.14033200,785083
2,1000000,summary,3.14154096,0.00119423
2,5000000,0,3.14233280,3927916
2,5000000,1,3.14255120,3928189
2,5000000,2,3.14089760,3926122
2,5000000,3,3.14152960,3926912
2,5000000,4,3.14209280,3927616
2,5000000,5,3.14167520,3927094
2,5000000,6,3.14239280,3927991
2,5000000,7,3.14029440,3925368
2,5000000,8,3.14191920,3927399
2,5000000,9,3.14125360,3926567
2,5000000,10,3.14194640,3927433
2,5000000,11,3.14223360,3927792
2,5000000,12,3.14126000,3926575
2,5000000,13,3.14150160,3926877
2,5000000,14,3.14140240,3926753
2,5000000,15,3.14153120,3926914
2,5000000,16,3.14214640,3927683
2,5000000,17,3.14156400,3926955
2,5000000,18,3.14148880,3926861
2,5000000,19,3.14126400,3926580
2,5000000,20,3.14258800,3928235
2,5000000,21,3.14088400,3926105
2,5000000,22,3.14234080,3927926
2,5000000,23,3.14097520,3926219
2,5000000,24,3.14132080,3926651
2,5000000,25,3.14033680,3925421
2,5000000,26,3.14149360,3926867
2,5000000,27,3.14161680,3927021
2,5000000,28,3.14152160,3926902
2,5000000,29,3.14106480,3926331
2,5000000,30,3.14192560,3927407
2,5000000,31,3.14131120,3926639
2,5000000,32,3.14179760,3927247
2,5000000,33,3.14219120,3927739
2,5000000,34,3.14156720,3926959
2,5000000,35,3.14064080,3925801
2,5000000,36,3.14184240,3927303
2,5000000,37,3.14211440,3927643
2,5000000,38,3.14133840,3926673
2,5000000,39,3.14153600,3926920
2,5000000,40,3.14182880,3927286
2,5000000,41,3.14054400,3925680
2,5000000,42,3.14212560,3927657
2,5000000,43,3.14183680,3927296
2,5000000,44,3.14137280,3926716
2,5000000,45,3.14034800,3925435
2,5000000,46,3.14110080,3926376
2,5000000,47,3.14211680,3927646
2,5000000,48,3.14129040,3926613
2,5000000,49,3.14192400,3927405
2,5000000,50,3.14114800,3926435
2,5000000,51,3.14110400,3926380
2,5000000,52,3.14082160,3926027
2,5000000,53,3.14226320,3927829
2,5000000,54,3.14211120,3927639
2,5000000,55,3.14183280,3927291
2,5000000,56,3.14071760,3925897
2,5000000,57,3.14182640,3927283
2,5000000,58,3.14180160,3927252
2,5000000,59,3.14205200,3927565
2,5000000,60,3.14186400,3927330
2,5000000,61,3.14144880,3926811
2,5000000,62,3.14164320,3927054
2,5000000,63,3.14215200,3927690
2,5000000,64,3.14099040,3926238
2,5000000,65,3.14215280,3927691
2,5000000,66,3.14098720,3926234
2,5000000,67,3.14215600,3927695
2,5000000,68,3.14103680,3926296
2,5000000,69,3.14168480,3927106
2,5000000,70,3.14127360,3926592
2,5000000,71,3.14223440,3927793
2,5000000,72,3.14054320,3925679
2,5000000,73,3.14232960,3927912
2,5000000,74,3.14204560,3927557
2,5000000,75,3.14102560,3926282
2,5000000,76,3.14165840,3927073
2,5000000,77,3.14153840,3926923
2,5000000,78,3.14067120,3925839
2,5000000,79,3.14194000,3927425
2,5000000,80,3.14198560,3927482
2,5000000,81,3.14119760,3926497
2,5000000,82,3.14201600,3927520
2,5000000,83,3.14189840,3927373
2,5000000,84,3.13996560,3924957
2,5000000,85,3.14249520,3928119
2,5000000,86,3.14157920,3926974
2,5000000,87,3.14160000,3927000
2,5000000,88,3.14070960,3925887
2,5000000,89,3.14140400,3926755
2,5000000,90,3.14111680,3926396
2,5000000,91,3.14138560,3926732
2,5000000,92,3.14205840,3927573
2,5000000,93,3.14219520,3927744
2,5000000,94,3.14208720,3927609
2,5000000,95,3.14032880,3925411
2,5000000,96,3.14214960,3927687
2,5000000,97,3.14123360,3926542
2,5000000,98,3.14256160,3928202
2,5000000,99,3.14092640,3926158
2,5000000,summary,3.14156122,0.00058205
2,10000000,0,3.14160800,7854020
2,10000000,1,3.14108880,7852722
2,10000000,2,3.14169520,7854238
2,10000000,3,3.14208880,7855222
2,10000000,4,3.14113800,7852845
2,10000000,5,3.14172480,7854312
2,10000000,6,3.14155160,7853879
2,10000000,7,3.14172280,7854307
2,10000000,8,3.14155080,7853877
2,10000000,9,3.14156480,7853912
2,10000000,10,3.14163600,7854090
2,10000000,11,3.14157240,7853931
2,10000000,12,3.14146160,7853654
2,10000000,13,3.14135280,7853382
2,10000000,14,3.14159680,7853992
2,10000000,15,3.14142000,7853550
2,10000000,16,3.14195720,7854893
2,10000000,17,3.14175640,7854391
2,10000000,18,3.14179840,7854496
2,10000000,19,3.14145400,7853635
2,10000000,20,3.14169160,7854229
2,10000000,21,3.14114200,7852855
2,10000000,22,3.14104360,7852609
2,10000000,23,3.14245160,7856129
2,10000000,24,3.14130120,7853253
2,10000000,25,3.14147560,7853689
2,10000000,26,3.14198560,7854964
2,10000000,27,3.14150320,7853758
2,10000000,28,3.14113280,7852832
2,10000000,29,3.14152720,7853818
2,10000000,30,3.14135760,7853394
2,10000000,31,3.14056960,7851424
2,10000000,32,3.14138680,7853467
2,10000000,33,3.14109000,7852725
2,10000000,34,3.14170440,7854261
2,10000000,35,3.14172880,7854322
2,10000000,36,3.14182360,7854559
2,10000000,37,3.14199720,7854993
2,10000000,38,3.14088440,7852211
2,10000000,39,3.14148160,7853704
2,10000000,40,3.14101720,7852543
2,10000000,41,3.14130600,7853265
2,10000000,42,3.14111560,7852789
2,10000000,43,3.14132240,7853306
2,10000000,44,3.14163560,7854089
2,10000000,45,3.14149120,7853728
2,10000000,46,3.14163160,7854079
2,10000000,47,3.14095280,7852382
2,10000000,48,3.14171120,7854278
2,10000000,49,3.14142480,7853562
2,10000000,50,3.14163360,7854084
2,10000000,51,3.14140720,7853518
2,10000000,52,3.14124600,7853115
2,10000000,53,3.14100520,7852513
2,10000000,54,3.14220840,7855521
2,10000000,55,3.14125560,7853139
2,10000000,56,3.14169840,7854246
2,10000000,57,3.14144920,7853623
2,10000000,58,3.14159680,7853992
2,10000000,59,3.14196960,7854924
2,10000000,60,3.14201480,7855037
2,10000000,61,3.14210960,7855274
2,10000000,62,3.14088560,7852214
2,10000000,63,3.14178200,7854455
2,10000000,64,3.14163520,7854088
2,10000000,65,3.14164760,7854119
2,10000000,66,3.14242480,7856062
2,10000000,67,3.14140880,7853522
2,10000000,68,3.14201480,7855037
2,10000000,69,3.14187160,7854679
2,10000000,70,3.14145400,7853635
2,10000000,71,3.14135200,7853380
2,10000000,72,3.14196720,7854918
2,10000000,73,3.14158040,7853951
2,10000000,74,3.14067240,7851681
2,10000000,75,3.14164600,7854115
2,10000000,76,3.14137960,7853449
2,10000000,77,3.14140120,7853503
2,10000000,78,3.14192240,7854806
2,10000000,79,3.14174280,7854357
2,10000000,80,3.14183720,7854593
2,10000000,81,3.14149560,7853739
2,10000000,82,3.14176520,7854413
2,10000000,83,3.14157160,7853929
2,10000000,84,3.14131200,7853280
2,10000000,85,3.14178120,7854453
2,10000000,86,3.14111880,7852797
2,10000000,87,3.14168080,7854202
2,10000000,88,3.14152720,7853818
2,10000000,89,3.14151120,7853778
2,10000000,90,3.14124480,7853112
2,10000000,91,3.14157120,7853928
2,10000000,92,3.14187160,7854679
2,10000000,93,3.14200680,7855017
2,10000000,94,3.14104800,7852620
2,10000000,95,3.14093360,7852334
2,10000000,96,3.14118920,7852973
2,10000000,97,3.14189200,7854730
2,10000000,98,3.14168320,7854208
2,10000000,99,3.14199880,7854997
2,10000000,summary,3.14154049,0.00035043
2,50000000,0,3.14152232,39269029
2,50000000,1,3.14150688,39268836
2,50000000,2,3.14160008,39270001
2,50000000,3,3.14158936,39269867
2,50000000,4,3.14164816,39270602
